# From Blue Book
EC EC ZA EC Eastern Cape
FS FS ZA FS Free State
GP GP 6 GP Gauteng
KN KN ZA KN KwaZulu-Natal
LP LP ZA LP Limpopo
MP MP ZA MP Mpumalanga
NC NC ZA NC Northern Cape
NW NW ZA NW North-West
WC WC ZA WC Western Cape
AO AO AO AO Angola
AQ AQ AQ AQ SANAE Base
BW BW BW BW Botswana
CD CD CD CD Democratic Republic of Congo
KM KM KM KM Comoros
LS LS LS LS Lesotho
MG MG MG MG Madagascar
MI MI MI MI Marion Island
MW MW MW MW Malawi
MU MU MU MU Mauritius
MZ MZ MZ MZ Mozambique
NA NA NA NA Namibia
SC SC SC SC Seychelles
SZ SZ SZ SZ eSwatini
TZ TZ TZ TZ United Republic of Tanzania
ZM ZM ZM ZM Zambia
ZW ZW ZW ZW Zimbabwe
DX DX DX DX stations – DX (outside the SADC)
